Date,Open,Last,High,Low,Range,Volume,1Y POC,3Y POC,YTD POC,1WK POC,1M POC
2020/3/2,2866.00,3031.00,3059.25,2855.25,204.00,3689149,0.00,0.00,0.00,0.00,0.00
2020/3/3,3043.00,2963.00,3103.00,2939.00,164.00,3754363,0.00,3993.00,0.00,0.00,0.00
2020/3/4,2954.25,3080.75,3095.50,2942.50,153.00,2590464,0.00,3993.00,0.00,0.00,0.00
2020/3/5,3075.25,2981.50,3079.75,2962.50,117.25,2807262,0.00,3993.00,0.00,0.00,0.00
2020/3/6,2990.25,2930.00,3003.00,2864.00,139.00,3163400,0.00,3993.00,0.00,0.00,0.00
2020/3/9,2882.00,2713.75,2882.00,2681.00,201.00,2672753,0.00,3993.00,0.00,0.00,0.00
2020/3/10,2699.00,2831.75,2850.75,2661.25,189.50,3423140,0.00,3993.00,0.00,0.00,0.00
2020/3/11,2825.50,2706.25,2835.50,2668.75,166.75,2992894,0.00,3993.00,0.00,0.00,0.00
2020/3/12,2704.00,2435.00,2740.00,2408.50,331.50,4366577,0.00,3993.00,0.00,0.00,0.00
2020/3/13,2395.50,2662.00,2673.75,2359.50,314.25,3423449,0.00,3993.00,0.00,0.00,0.00
2020/3/16,2609.50,2383.25,2630.00,2328.00,302.00,3539756,0.00,3993.00,0.00,0.00,0.00
2020/3/17,2385.00,2463.50,2520.75,2330.00,190.75,3788132,0.00,3993.00,0.00,0.00,0.00
2020/3/18,2445.50,2379.50,2464.25,2240.00,224.25,3255696,0.00,3993.00,0.00,0.00,0.00
2020/3/19,2380.50,2367.00,2438.00,2253.00,185.00,3127808,0.00,3993.00,0.00,0.00,0.00
2020/3/20,2329.00,2266.50,2477.00,2238.00,239.00,3075997,0.00,3993.00,0.00,0.00,0.00
2020/3/23,2198.25,2198.50,2364.00,2152.00,212.00,3076791,0.00,3993.00,0.00,0.00,0.00
2020/3/24,2211.25,2416.00,2425.75,2208.50,217.25,2639522,0.00,3993.00,0.00,0.00,0.00
2020/3/25,2420.75,2445.00,2538.75,2364.00,174.75,3037767,0.00,3993.00,0.00,0.00,0.00
2020/3/26,2449.00,2586.00,2603.75,2380.25,223.50,2413913,0.00,3993.00,0.00,0.00,0.00
2020/3/27,2605.75,2502.00,2612.50,2483.25,129.25,2320755,0.00,3993.00,0.00,0.00,0.00
2020/3/30,2437.00,2589.25,2599.75,2423.00,176.75,1837692,0.00,3993.00,0.00,0.00,0.00
2020/3/31,2591.25,2547.75,2613.75,2533.75,80.00,2248012,0.00,3993.00,0.00,0.00,0.00
2020/4/1,2540.00,2426.00,2540.25,2412.25,128.00,2091378,0.00,3993.00,0.00,0.00,0.00
2020/4/2,2437.00,2494.50,2503.00,2402.75,100.25,2145458,0.00,3993.00,0.00,0.00,0.00
2020/4/3,2491.75,2460.75,2507.50,2427.00,80.50,1763886,0.00,3993.00,0.00,0.00,0.00
2020/4/6,2463.00,2622.50,2646.50,2462.75,183.75,2034419,0.00,3993.00,0.00,0.00,0.00
2020/4/7,2623.50,2620.00,2728.00,2601.50,126.50,2486524,0.00,3993.00,0.00,0.00,0.00
2020/4/8,2618.50,2713.00,2730.50,2598.75,131.75,1920688,0.00,3993.00,0.00,0.00,0.00
2020/4/9,2715.75,2757.75,2787.50,2678.75,108.75,2342733,0.00,3993.00,0.00,0.00,0.00
2020/4/13,2789.00,2737.25,2797.50,2689.00,108.50,1571402,0.00,3993.00,0.00,0.00,0.00
2020/4/14,2738.00,2821.00,2824.00,2730.50,93.50,1716496,0.00,3993.00,0.00,0.00,0.00
2020/4/15,2821.75,2753.00,2823.50,2729.25,94.25,1831570,0.00,3993.00,0.00,0.00,0.00
2020/4/16,2745.75,2765.50,2809.50,2724.00,85.50,1749108,0.00,3993.00,0.00,0.00,0.00
2020/4/17,2841.00,2848.00,2863.00,2799.00,64.00,1924019,0.00,3993.00,0.00,0.00,0.00
2020/4/20,2839.50,2784.50,2853.50,2782.25,71.25,1566934,0.00,3993.00,0.00,0.00,0.00
2020/4/21,2785.00,2710.00,2811.25,2695.25,116.00,1969844,0.00,3993.00,0.00,0.00,0.00
2020/4/22,2715.25,2766.50,2786.00,2695.25,90.75,1369529,0.00,3993.00,0.00,0.00,0.00
2020/4/23,2768.50,2758.75,2814.75,2750.75,64.00,1703918,0.00,3993.00,0.00,0.00,0.00
2020/4/24,2755.00,2807.50,2813.00,2733.25,79.75,1293756,0.00,3993.00,0.00,0.00,0.00
2020/4/27,2807.00,2847.00,2859.25,2790.75,68.50,1224445,0.00,3993.00,0.00,0.00,0.00
2020/4/28,2845.75,2845.25,2891.50,2829.00,62.50,1614021,0.00,3993.00,0.00,0.00,0.00
2020/4/29,2848.50,2919.00,2937.75,2838.75,99.00,1737371,0.00,3993.00,0.00,0.00,0.00
2020/4/30,2934.50,2880.50,2943.00,2856.00,87.00,2027924,0.00,3993.00,0.00,0.00,0.00
2020/5/1,2849.50,2799.75,2857.75,2789.75,68.00,1647259,0.00,3993.00,0.00,0.00,0.00
2020/5/4,2767.00,2803.25,2813.75,2749.00,64.75,1510680,0.00,3993.00,0.00,0.00,0.00
2020/5/5,2805.00,2836.25,2867.75,2802.50,65.25,1474765,0.00,3993.00,0.00,0.00,0.00
2020/5/6,2835.75,2811.50,2864.25,2810.00,54.25,1466641,0.00,3993.00,0.00,0.00,0.00
2020/5/7,2810.00,2858.00,2873.00,2801.00,72.00,1494330,0.00,3993.00,0.00,0.00,0.00
2020/5/8,2860.00,2906.50,2911.00,2857.75,53.25,1326254,0.00,3993.00,0.00,0.00,0.00
2020/5/11,2898.75,2900.75,2925.00,2867.75,57.25,1528302,0.00,3993.00,0.00,0.00,0.00
2020/5/12,2897.25,2830.50,2917.25,2816.00,101.25,1824303,0.00,3993.00,0.00,0.00,0.00
2020/5/13,2817.75,2791.00,2854.75,2764.00,90.75,2591379,0.00,3993.00,0.00,0.00,0.00
2020/5/14,2798.25,2825.00,2831.75,2738.25,93.50,2501222,0.00,3993.00,0.00,0.00,0.00
2020/5/15,2824.25,2824.50,2841.50,2787.50,54.00,1897194,0.00,3993.00,0.00,0.00,0.00
2020/5/18,2837.75,2926.00,2942.75,2828.00,114.75,1775433,0.00,3993.00,0.00,0.00,0.00
2020/5/19,2923.00,2896.75,2954.25,2892.25,62.00,1567224,0.00,3993.00,0.00,0.00,0.00
2020/5/20,2891.50,2946.50,2953.75,2886.50,67.25,1532404,0.00,3993.00,0.00,0.00,0.00
2020/5/21,2950.25,2915.00,2951.50,2911.00,40.50,1608225,0.00,3993.00,0.00,0.00,0.00
2020/5/22,2914.75,2931.00,2935.50,2881.75,53.75,1377263,0.00,3993.00,0.00,0.00,0.00
2020/5/26,2926.50,2972.50,2997.75,2925.50,72.25,1797241,0.00,3993.00,0.00,0.00,0.00
2020/5/27,2972.00,3013.50,3017.50,2943.50,74.00,2109332,0.00,3993.00,0.00,0.00,0.00
2020/5/28,3013.00,3016.00,3043.50,2997.50,46.00,1881295,0.00,3993.00,0.00,0.00,0.00
2020/5/29,3014.00,3020.00,3036.25,2970.00,66.25,2258009,0.00,3993.00,0.00,0.00,0.00
2020/6/1,3007.75,3032.00,3037.00,2986.00,51.00,1277803,0.00,3993.00,0.00,0.00,0.00
2020/6/2,3030.75,3055.00,3057.00,3013.00,44.00,1458830,0.00,3993.00,0.00,0.00,0.00
2020/6/3,3056.00,3095.75,3107.50,3052.25,55.25,1623708,0.00,3993.00,0.00,0.00,0.00
2020/6/4,3095.75,3088.50,3104.75,3065.50,39.25,1830904,0.00,3993.00,0.00,0.00,0.00
2020/6/5,3091.25,3164.75,3188.50,3084.50,104.00,2444330,0.00,3993.00,0.00,0.00,0.00
2020/6/8,3170.50,3205.50,3209.25,3161.25,48.00,1602601,0.00,3993.00,0.00,0.00,0.00
2020/6/9,3205.75,3183.50,3209.00,3168.00,41.00,1695764,0.00,3993.00,0.00,0.00,0.00
2020/6/10,3182.75,3164.00,3205.25,3157.75,47.50,1996065,0.00,3993.00,0.00,0.00,0.00
2020/6/11,3161.75,2988.25,3166.50,2974.25,192.25,3528726,0.00,3993.00,0.00,0.00,0.00
2020/6/12,2989.75,3012.75,3065.75,2960.00,105.75,2872339,0.00,3993.00,0.00,0.00,0.00
2020/6/15,2972.25,3051.00,3057.25,2912.75,144.50,2970664,0.00,3993.00,0.00,0.00,0.00
2020/6/16,3054.25,3107.25,3145.25,3049.25,96.00,2997253,0.00,3993.00,0.00,0.00,0.00
2020/6/17,3100.75,3096.00,3136.00,3083.50,52.50,1850300,0.00,3993.00,0.00,0.00,0.00
2020/6/18,3093.00,3087.00,3109.00,3053.50,55.50,1636217,0.00,3993.00,0.00,0.00,0.00
2020/6/19,3085.75,3048.50,3133.75,3045.75,88.00,1952273,0.00,3993.00,0.00,0.00,0.00
2020/6/22,3029.25,3099.75,3103.25,3016.25,87.00,1392325,0.00,3993.00,0.00,0.00,0.00
2020/6/23,3100.75,3107.50,3134.75,3049.00,85.75,1528485,0.00,3993.00,0.00,0.00,0.00
2020/6/24,3102.25,3038.00,3117.50,3008.75,108.75,2387916,0.00,3993.00,0.00,0.00,0.00
2020/6/25,3035.75,3059.75,3068.50,2994.00,74.50,1967245,0.00,3993.00,0.00,0.00,0.00
2020/6/26,3060.25,2996.00,3071.00,2981.50,89.50,2208418,0.00,3993.00,0.00,0.00,0.00
2020/6/29,2975.25,3036.75,3040.25,2972.50,67.75,1585146,0.00,3993.00,0.00,0.00,0.00
2020/6/30,3035.00,3079.25,3090.25,3019.25,71.00,1724164,0.00,3993.00,0.00,0.00,0.00
2020/7/1,3074.25,3092.00,3106.75,3051.75,55.00,1537321,0.00,3993.00,0.00,0.00,0.00
2020/7/2,3090.75,3118.00,3145.50,3084.50,61.00,1552517,0.00,3993.00,0.00,0.00,0.00
2020/7/6,3110.25,3161.00,3163.50,3094.75,68.75,1459512,0.00,3993.00,0.00,0.00,0.00
2020/7/7,3159.00,3125.50,3173.00,3121.50,51.50,1333466,0.00,3993.00,0.00,0.00,0.00
2020/7/8,3124.25,3152.50,3155.25,3114.50,40.75,1527612,0.00,3993.00,0.00,0.00,0.00
2020/7/9,3155.25,3130.00,3159.75,3094.25,65.50,1881833,0.00,3993.00,0.00,0.00,0.00
2020/7/10,3131.25,3167.50,3170.25,3100.50,69.75,1408591,0.00,3993.00,0.00,0.00,0.00
2020/7/13,3172.50,3137.25,3215.25,3129.50,85.75,2074726,0.00,3993.00,0.00,0.00,0.00
2020/7/14,3138.75,3172.50,3181.25,3108.00,73.25,2256766,0.00,3993.00,0.00,0.00,0.00
2020/7/15,3193.00,3208.50,3222.25,3181.00,41.25,1937696,0.00,3993.00,0.00,0.00,0.00
2020/7/16,3212.25,3183.50,3217.50,3177.50,40.00,1471311,0.00,3993.00,0.00,0.00,0.00
2020/7/17,3187.50,3203.00,3214.25,3183.75,30.50,1261113,0.00,3993.00,0.00,0.00,0.00
2020/7/20,3203.50,3234.25,3239.50,3179.25,60.25,1401168,0.00,3993.00,0.00,0.00,0.00
2020/7/21,3232.75,3240.25,3262.25,3228.25,34.00,1463931,0.00,3993.00,0.00,0.00,0.00
2020/7/22,3238.25,3254.50,3260.75,3216.25,44.50,1354244,0.00,3993.00,0.00,0.00,0.00
2020/7/23,3256.75,3216.50,3273.50,3203.25,70.25,1704453,0.00,3993.00,0.00,0.00,0.00
2020/7/24,3219.00,3193.00,3228.00,3180.50,47.50,1761346,0.00,3993.00,0.00,0.00,0.00
2020/7/27,3199.75,3221.25,3224.00,3181.00,43.00,1299512,0.00,3993.00,0.00,0.00,0.00
2020/7/28,3224.00,3202.00,3235.75,3197.00,38.75,1375293,0.00,3993.00,0.00,0.00,0.00
2020/7/29,3204.00,3241.50,3246.00,3193.25,52.75,1218031,0.00,3993.00,0.00,0.00,0.00
2020/7/30,3245.75,3237.75,3258.00,3184.00,74.00,2000721,0.00,3993.00,0.00,0.00,0.00
2020/7/31,3258.25,3252.50,3262.75,3201.50,61.25,2282794,0.00,3993.00,0.00,0.00,0.00
2020/8/3,3261.00,3277.50,3284.50,3243.75,40.75,1250449,0.00,3993.00,0.00,0.00,0.00
2020/8/4,3279.75,3289.00,3289.50,3260.00,29.50,1145269,0.00,3993.00,0.00,0.00,0.00
2020/8/5,3289.75,3305.00,3312.25,3281.00,31.25,1116787,0.00,3993.00,0.00,0.00,0.00
2020/8/6,3306.00,3333.25,3334.50,3289.50,45.00,1346665,0.00,3993.00,0.00,0.00,0.00
2020/8/7,3332.75,3333.75,3336.75,3311.25,25.50,1615367,0.00,3993.00,0.00,0.00,0.00
2020/8/10,3336.00,3341.75,3346.25,3318.00,28.25,1201751,0.00,3993.00,0.00,0.00,0.00
2020/8/11,3339.25,3319.00,3368.00,3308.50,59.50,1733040,0.00,3993.00,0.00,0.00,0.00
2020/8/12,3328.50,3359.00,3371.50,3315.25,56.25,1408718,0.00,3993.00,0.00,0.00,0.00
2020/8/13,3356.75,3356.75,3371.00,3346.50,24.50,1205758,0.00,3993.00,0.00,0.00,0.00
2020/8/14,3358.25,3350.50,3369.50,3339.00,30.50,1084771,0.00,3993.00,0.00,0.00,0.00
2020/8/17,3355.00,3368.75,3371.75,3353.75,18.00,759304,0.00,3993.00,0.00,0.00,0.00
2020/8/18,3368.25,3376.00,3379.75,3354.25,25.50,1019552,0.00,3993.00,0.00,0.00,0.00
2020/8/19,3377.75,3361.75,3384.75,3354.50,30.25,1368420,0.00,3993.00,0.00,0.00,0.00
2020/8/20,3359.25,3369.75,3376.00,3333.75,42.25,1203334,0.00,3993.00,0.00,0.00,0.00
2020/8/21,3372.50,3381.50,3385.25,3345.75,39.50,1221450,0.00,3993.00,0.00,0.00,0.00
2020/8/24,3387.75,3416.50,3418.50,3382.50,36.00,1282950,0.00,3993.00,0.00,0.00,0.00
2020/8/25,3416.00,3432.00,3437.75,3410.75,27.00,1133837,0.00,3993.00,0.00,0.00,0.00
2020/8/26,3433.75,3469.25,3472.50,3425.75,46.75,1277539,0.00,3993.00,0.00,0.00,0.00
2020/8/27,3468.50,3474.25,3487.25,3453.75,33.50,1633581,0.00,3993.00,0.00,0.00,0.00
2020/8/28,3477.00,3493.50,3498.50,3469.75,28.75,1248430,0.00,3993.00,0.00,0.00,0.00
2020/8/31,3497.50,3488.00,3513.50,3479.00,34.50,1439600,0.00,3993.00,0.00,0.00,0.00
2020/9/1,3482.25,3516.00,3519.00,3473.25,45.75,1283622,0.00,3993.00,0.00,0.00,0.00
2020/9/2,3518.00,3568.25,3576.00,3515.25,60.75,1853078,0.00,3993.00,0.00,0.00,0.00
2020/9/3,3567.75,3450.50,3575.50,3413.50,162.00,2872337,0.00,3993.00,0.00,0.00,0.00
2020/9/4,3443.75,3406.50,3473.25,3336.75,136.50,2994363,0.00,3993.00,0.00,0.00,0.00
2020/9/8,3409.50,3324.50,3436.00,3316.50,119.50,2732946,0.00,3993.00,0.00,0.00,0.00
2020/9/9,3304.25,3389.25,3413.00,3284.50,128.50,2011132,0.00,3993.00,0.00,0.00,0.00
2020/9/10,3385.00,3329.50,3413.25,3316.25,97.00,2332667,0.00,3993.00,0.00,0.00,0.00
2020/9/11,3334.25,3322.75,3364.25,3297.75,66.50,2034367,0.00,3993.00,0.00,0.00,0.00
2020/9/14,3339.50,3371.75,3392.00,3335.75,56.25,2219334,0.00,3993.00,0.00,0.00,0.00
2020/9/15,3369.25,3394.50,3408.50,3365.75,42.75,1903406,0.00,3993.00,0.00,0.00,0.00
2020/9/16,3395.25,3379.00,3419.00,3373.25,45.75,1787505,0.00,3993.00,0.00,0.00,0.00
2020/9/17,3381.00,3350.50,3386.00,3309.75,76.25,2676297,0.00,3993.00,0.00,0.00,0.00
2020/9/18,3344.50,3315.75,3362.50,3280.25,82.25,2365554,0.00,3993.00,0.00,0.00,0.00
2020/9/21,3314.00,3274.50,3325.75,3217.25,108.50,2507980,0.00,3993.00,0.00,0.00,0.00
2020/9/22,3271.00,3298.75,3309.00,3256.00,53.00,1576319,0.00,3993.00,0.00,0.00,0.00
2020/9/23,3303.25,3230.75,3319.25,3220.50,98.75,1979661,0.00,3993.00,0.00,0.00,0.00
2020/9/24,3227.50,3237.50,3267.75,3197.50,70.25,2277010,0.00,3993.00,0.00,0.00,0.00
2020/9/25,3243.00,3286.75,3295.75,3206.00,89.75,1697090,0.00,3993.00,0.00,0.00,0.00
2020/9/28,3290.50,3345.50,3350.75,3287.00,63.75,1495804,0.00,3993.00,0.00,0.00,0.00
2020/9/29,3348.25,3333.25,3362.50,3316.00,46.50,1326597,0.00,3993.00,0.00,0.00,0.00
2020/9/30,3329.50,3351.50,3383.50,3290.75,92.75,2170601,0.00,3993.00,0.00,0.00,0.00
2020/10/1,3344.25,3367.25,3387.50,3342.75,44.75,1517912,0.00,3993.00,0.00,0.00,0.00
2020/10/2,3366.50,3338.75,3375.00,3299.75,75.25,2028921,0.00,3993.00,0.00,0.00,0.00
2020/10/5,3359.50,3392.50,3399.50,3346.00,53.50,1077474,0.00,3993.00,0.00,0.00,0.00
2020/10/6,3391.50,3352.75,3421.25,3330.00,91.25,1701062,0.00,3993.00,0.00,0.00,0.00
2020/10/7,3337.50,3406.25,3416.25,3331.75,84.50,1400616,0.00,3993.00,0.00,0.00,0.00
2020/10/8,3405.75,3437.00,3446.75,3405.00,41.75,1104986,0.00,3993.00,0.00,0.00,0.00
2020/10/9,3446.75,3472.75,3479.50,3444.75,34.75,1185272,0.00,3993.00,0.00,0.00,0.00
2020/10/12,3467.00,3532.25,3540.50,3463.75,76.75,1401063,0.00,3993.00,0.00,0.00,0.00
2020/10/13,3533.50,3504.25,3535.25,3491.00,44.25,1617226,0.00,3993.00,0.00,0.00,0.00
2020/10/14,3501.50,3480.50,3523.50,3471.50,52.00,1539718,0.00,3993.00,0.00,0.00,0.00
2020/10/15,3478.75,3475.00,3486.00,3431.00,55.00,1650150,0.00,3993.00,0.00,0.00,0.00
2020/10/16,3478.00,3461.75,3508.00,3460.75,47.25,1398947,0.00,3993.00,0.00,0.00,0.00
2020/10/19,3470.50,3422.25,3496.00,3410.25,85.75,1645853,0.00,3993.00,0.00,0.00,0.00
2020/10/20,3435.50,3431.75,3469.25,3418.25,51.00,1702183,0.00,3993.00,0.00,0.00,0.00
2020/10/21,3436.50,3432.00,3457.50,3420.00,37.50,1681275,0.00,3993.00,0.00,0.00,0.00
2020/10/22,3429.75,3448.75,3452.50,3402.00,50.50,1501259,0.00,3993.00,0.00,0.00,0.00
2020/10/23,3455.25,3451.25,3462.00,3431.00,31.00,1216313,0.00,3993.00,0.00,0.00,0.00
2020/10/26,3445.25,3393.00,3445.75,3355.50,90.25,1957780,0.00,3993.00,0.00,0.00,0.00
2020/10/27,3393.75,3382.50,3409.50,3367.75,41.75,1566246,0.00,3993.00,0.00,0.00,0.00
2020/10/28,3368.50,3263.00,3369.75,3260.25,109.50,2627180,0.00,3993.00,0.00,0.00,0.00
2020/10/29,3278.50,3301.75,3333.25,3249.75,83.50,1965277,0.00,3993.00,0.00,0.00,0.00
2020/10/30,3267.50,3264.25,3295.75,3224.50,71.25,2494925,0.00,3993.00,0.00,0.00,0.00
2020/11/2,3259.50,3300.00,3323.00,3242.75,80.25,1849320,0.00,3993.00,0.00,0.00,0.00
2020/11/3,3303.50,3361.00,3382.25,3300.75,81.50,1664690,0.00,3993.00,0.00,0.00,0.00
2020/11/4,3362.25,3434.50,3479.50,3318.50,161.00,2813083,0.00,3993.00,0.00,0.00,0.00
2020/11/5,3447.50,3504.25,3522.00,3427.75,94.25,1671417,0.00,3993.00,0.00,0.00,0.00
2020/11/6,3508.25,3500.25,3518.50,3456.25,62.25,1640000,0.00,3993.00,0.00,0.00,0.00
2020/11/9,3522.00,3543.50,3667.50,3515.25,152.25,2605322,0.00,3993.00,0.00,0.00,0.00
2020/11/10,3549.00,3540.50,3562.25,3506.00,56.25,2160319,0.00,3993.00,0.00,0.00,0.00
2020/11/11,3545.75,3567.50,3576.25,3530.50,45.75,1324983,0.00,3993.00,0.00,0.00,0.00
2020/11/12,3574.00,3532.00,3574.00,3512.50,61.50,1685890,0.00,3993.00,0.00,0.00,0.00
2020/11/13,3537.00,3581.50,3589.50,3517.50,72.00,1334530,0.00,3993.00,0.00,0.00,0.00
2020/11/16,3586.50,3622.50,3636.50,3586.00,50.50,1303941,0.00,3993.00,0.00,0.00,0.00
2020/11/17,3625.00,3606.25,3629.50,3583.75,45.75,1268206,0.00,3993.00,0.00,0.00,0.00
2020/11/18,3604.00,3564.50,3622.75,3556.00,66.75,1325309,0.00,3993.00,0.00,0.00,0.00
2020/11/19,3561.50,3579.50,3582.25,3541.75,40.50,1291117,0.00,3993.00,0.00,0.00,0.00
2020/11/20,3559.50,3553.75,3582.00,3542.25,39.75,1189621,0.00,3993.00,0.00,0.00,0.00
2020/11/23,3546.00,3575.50,3587.50,3545.00,42.50,1204848,0.00,3993.00,0.00,0.00,0.00
2020/11/24,3575.50,3632.25,3639.50,3574.75,64.75,1288993,0.00,3993.00,0.00,0.00,0.00
2020/11/25,3635.00,3626.75,3654.50,3614.75,39.75,1016343,0.00,3993.00,0.00,0.00,0.00
2020/11/27,3629.75,3636.00,3642.25,3612.25,30.00,639268,0.00,3993.00,0.00,0.00,0.00
